MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
1,319105100,"MULTIVERSE",9770270,"ZGGB8",22.591185,-78.086382,2024-03-04 00:35:00.000,8.0,302.1,302,0,1,37,5.2,5.2,63,53,8,10,"SX SIMPSON BAY","KY",ORBCOMM-T
1,319105100,"MULTIVERSE",9770270,"ZGGB8",22.591751,-78.087362,2024-03-04 00:40:00.000,7.9,301.0,302,0,1,37,5.2,5.2,63,53,8,10,"SX SIMPSON BAY","KY",ORBCOMM-T
1,319003900,"UNBRIDLED",9526318,"ZCXS6",23.249758,-78.947504,2024-03-04 06:25:00.000,14.2,158.0,157,0,1,37,3.1,3.1,25,33,5,5,"SEATTLE","KY",rORBCOMM000
1,319003900,"UNBRIDLED",9526318,"ZCXS6",22.884486,-78.805469,2024-03-04 08:05:00.000,13.6,158.9,158,0,1,37,3.1,3.1,25,33,5,5,"SEATTLE","KY",rORBCOMM000
1,319105100,"MULTIVERSE",9770270,"ZGGB8",23.422883,-79.039787,2024-03-04 11:05:00.000,7.1,335.1,336,0,1,37,5.2,5.2,63,53,8,10,"SX SIMPSON BAY","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",23.391825,-79.257017,2024-03-04 12:55:00.000,14.4,152.7,154,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,538071653,"AHPO",9855276,"V7A5010",23.036258,-79.055517,2024-03-04 14:35:00.000,14.7,152.3,151,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,538071653,"AHPO",9855276,"V7A5010",22.952750,-79.008284,2024-03-04 14:55:00.000,14.6,152.1,152,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319003900,"UNBRIDLED",9526318,"ZCXS6",22.143801,-77.476092,2024-03-04 16:15:00.000,12.3,134.3,134,0,1,37,3.1,3.1,25,33,5,5,"SEATTLE","KY",rORBCOMM000
1,538071653,"AHPO",9855276,"V7A5010",22.590316,-78.182800,2024-03-04 18:25:00.000,13.9,109.7,110,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
3,319072300,"ELYSIAN",1012189,"ZGED3",23.072728,-78.936000,2024-03-04 19:30:00.000,13.1,153.2,151,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",22.474337,-77.960554,2024-03-04 19:30:00.000,13.8,122.8,123,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.983578,-78.892830,2024-03-04 20:00:00.000,12.5,157.2,158,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",22.795601,-78.790324,2024-03-04 21:00:00.000,12.8,112.9,111,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",22.773728,-78.732579,2024-03-04 21:15:00.000,12.9,111.8,112,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",22.182108,-77.536759,2024-03-04 21:35:00.000,14.3,132.5,131,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,538071653,"AHPO",9855276,"V7A5010",22.171666,-77.524500,2024-03-04 21:40:00.000,14.1,132.5,131,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.739058,-78.634259,2024-03-04 21:45:00.000,12.4,111.7,112,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",22.125366,-77.470167,2024-03-04 21:55:00.000,14.3,132.4,128,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,538071653,"AHPO",9855276,"V7A5010",22.078891,-77.415500,2024-03-04 22:15:00.000,14.2,132.4,128,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.696996,-78.513525,2024-03-04 22:15:00.000,12.5,108.6,108,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",22.068683,-77.403517,2024-03-04 22:20:00.000,14.2,132.8,129,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,538071653,"AHPO",9855276,"V7A5010",21.970016,-77.287650,2024-03-04 22:55:00.000,13.7,132.3,132,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.655826,-78.374820,2024-03-04 22:55:00.000,12.3,107.1,107,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",22.629455,-78.287989,2024-03-04 23:20:00.000,12.4,109.7,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",21.869541,-77.169717,2024-03-04 23:35:00.000,14.2,132.0,131,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.609620,-78.226559,2024-03-04 23:40:00.000,12.3,109.8,109,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,538071653,"AHPO",9855276,"V7A5010",21.774474,-77.054617,2024-03-05 00:10:00.000,13.6,115.6,115,0,6,37,4.3,4.3,58,57,9,10,"LCVIF","MH",None
1,319072300,"ELYSIAN",1012189,"ZGED3",22.376143,-77.779758,2024-03-05 02:00:00.000,12.1,123.0,122,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",22.060264,-77.312836,2024-03-05 04:40:00.000,11.5,110.0,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",22.021816,-77.193934,2024-03-05 05:15:00.000,11.8,108.1,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",21.977018,-77.041303,2024-03-05 06:00:00.000,12.0,107.9,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",21.974488,-77.032557,2024-03-05 06:05:00.000,12.3,106.4,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",21.959346,-76.980347,2024-03-05 06:20:00.000,12.3,107.8,111,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",21.914125,-76.833435,2024-03-05 07:00:00.000,11.8,108.2,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,319072300,"ELYSIAN",1012189,"ZGED3",21.910363,-76.821416,2024-03-05 07:05:00.000,12.1,108.0,110,0,1,37,3.5,3.5,36,30,10,2,"US MIA","KY",ORBCOMM-T
1,310563000,"ARCHIMEDES",1009637,"ZCDY4",22.689825,-78.447984,2024-03-06 10:00:00.000,14.9,110.2,111,0,15,37,3.5,3.5,34,34,6,7,"ST. BARTHELEMY","BM",ORBCOMM-T
18,367709270,"FANCY 55",None," ",23.430421,-78.991499,2024-03-06 12:35:00.000,102.2,99.2,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.416460,-78.835179,2024-03-06 12:40:00.000,102.2,100.0,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.396603,-78.623980,2024-03-06 12:45:00.000,102.2,99.4,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.375744,-78.437475,2024-03-06 12:50:00.000,102.2,99.1,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.353804,-78.266230,2024-03-06 12:55:00.000,102.2,99.7,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.331571,-78.097885,2024-03-06 13:00:00.000,102.2,100.4,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
