,MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT.1,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER,BEAM,LENGTH,CHANNEL_SIDE,time_diff,cog_diff,new_voyage,voyage_id,geometry,in_channel_north,in_channel_south,location,num_pings
98331,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.286636,-77.598215,2023-02-25 09:30:00,10.6,310.1,312.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.0999999999999659,False,74_577482000,POINT (-77.598215 22.286636),True,False,in north channel,68
98332,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.294888,-77.608682,2023-02-25 09:35:00,10.6,310.5,312.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.39999999999997726,False,74_577482000,POINT (-77.608682 22.294888),True,False,in north channel,68
98333,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.315211,-77.634469,2023-02-25 09:45:00,10.5,311.2,313.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,600.0,0.6999999999999886,False,74_577482000,POINT (-77.634469 22.315211),True,False,in north channel,68
98334,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.324081,-77.645645,2023-02-25 09:50:00,10.5,309.7,311.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,1.5,False,74_577482000,POINT (-77.645645 22.324081),True,False,in north channel,68
98335,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.330876,-77.656497,2023-02-25 09:55:00,10.4,303.1,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,6.599999999999966,False,74_577482000,POINT (-77.656497 22.330876),True,False,in north channel,68
98336,3,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.340066,-77.671424,2023-02-25 10:00:00,10.5,303.8,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.6999999999999886,False,74_577482000,POINT (-77.671424 22.340066),True,False,in north channel,68
98337,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.346873,-77.682407,2023-02-25 10:05:00,10.5,303.6,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.19999999999998863,False,74_577482000,POINT (-77.682407 22.346873),True,False,in north channel,68
98338,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.355605,-77.696304,2023-02-25 10:10:00,10.5,304.4,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.7999999999999545,False,74_577482000,POINT (-77.696304 22.355605),True,False,in north channel,68
98339,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.363276,-77.708502,2023-02-25 10:15:00,10.5,304.4,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.0,False,74_577482000,POINT (-77.708502 22.363276),True,False,in north channel,68
98340,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.371785,-77.722042,2023-02-25 10:20:00,10.4,304.3,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.0999999999999659,False,74_577482000,POINT (-77.722042 22.371785),True,False,in north channel,68
98341,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.38086,-77.736167,2023-02-25 10:25:00,10.3,305.6,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,1.3000000000000114,False,74_577482000,POINT (-77.736167 22.38086),True,False,in north channel,68
98342,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.394563,-77.757315,2023-02-25 10:30:00,10.2,305.0,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.6000000000000227,False,74_577482000,POINT (-77.757315 22.394563),True,False,in north channel,68
98343,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.396496,-77.760317,2023-02-25 10:35:00,10.2,304.6,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.39999999999997726,False,74_577482000,POINT (-77.760317 22.396496),True,False,in north channel,68
98344,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.40448,-77.772379,2023-02-25 10:40:00,10.1,306.5,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,1.8999999999999773,False,74_577482000,POINT (-77.772379 22.40448),True,False,in north channel,68
98345,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.412908,-77.785829,2023-02-25 10:45:00,10.1,302.0,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,4.5,False,74_577482000,POINT (-77.785829 22.412908),True,False,in north channel,68
98346,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.420028,-77.7976,2023-02-25 10:50:00,10.2,303.0,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,1.0,False,74_577482000,POINT (-77.7976 22.420028),True,False,in north channel,68
98347,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.42798,-77.810404,2023-02-25 10:55:00,10.2,303.1,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.10000000000002274,False,74_577482000,POINT (-77.810404 22.42798),True,False,in north channel,68
