target_len,teacher_forcing_ratio,learning_rate,MAE_m,MSE_m2,RMSE_m,best_val_loss,model_path,per_step_MAE_m,per_step_RMSE_m
5,0.7,0.04,66932.4609375,6331449344.0,79570.40495058449,0.3012631410092581,grid_models\seq2seq_tlen5_tfr0.7_lr0.04.pt,"65994.19,66485.11,66890.14,67413.51,67879.37","78524.88,79062.81,79517.06,80097.11,80632.80"
5,0.7,0.06,74943.46875,7233205760.0,85048.25547887506,0.32677401101682335,grid_models\seq2seq_tlen5_tfr0.7_lr0.06.pt,"73666.75,74004.30,75182.30,75718.91,76145.02","88111.60,83428.04,84050.50,84551.30,85021.91"
5,0.7,0.08,74423.109375,7397302784.0,86007.57399206188,0.3448493881733157,grid_models\seq2seq_tlen5_tfr0.7_lr0.08.pt,"87287.92,68819.67,71239.36,72108.90,72659.66","101697.38,79753.95,81457.70,82296.94,82917.55"
5,0.7,0.1,68690.6796875,6507748864.0,80670.61958358818,0.3058311846689321,grid_models\seq2seq_tlen5_tfr0.7_lr0.1.pt,"67366.51,69787.39,68188.57,68832.61,69278.31","79363.16,81237.62,80092.38,81048.20,81590.92"
10,0.2,0.01,80082.3671875,8715364352.0,93356.11577181218,0.45899759738122003,grid_models\seq2seq_tlen10_tfr0.2_lr0.01.pt,"77137.52,76778.29,78251.93,79232.13,80028.52,80678.12,81314.86,81940.66,82458.93,83002.79","85513.86,89295.20,91585.89,92811.96,93796.88,94541.38,95278.91,96023.09,96682.16,97383.19"
10,0.2,0.04,69931.2890625,6952634880.0,83382.4614652266,0.3562548381544776,grid_models\seq2seq_tlen10_tfr0.2_lr0.04.pt,"73220.19,65322.25,67520.48,68549.67,69290.43,69906.18,70512.02,71115.01,71665.46,72211.18","85693.81,78141.56,80660.64,81862.65,82767.88,83477.95,84179.26,84885.23,85563.25,86240.22"
10,0.2,0.06,72158.3359375,7018146816.0,83774.38042743139,0.3700873404741287,grid_models\seq2seq_tlen10_tfr0.2_lr0.06.pt,"69202.36,66522.20,70340.35,71710.14,72491.77,73105.38,73702.05,74293.92,74838.79,75376.41","80179.71,77586.73,81561.64,83121.46,84062.42,84768.22,85458.88,86153.94,86825.35,87492.88"
10,0.2,0.08,76345.7890625,7598562816.0,87169.73566553934,0.39342157441680714,grid_models\seq2seq_tlen10_tfr0.2_lr0.08.pt,"77453.69,72707.27,74412.67,75164.17,75846.98,76438.16,77022.59,77604.46,78139.40,78668.55","90848.15,83439.82,84595.86,85360.68,86173.20,86851.85,87529.23,88214.56,88874.75,89533.08"
10,0.2,0.1,89459.09375,11250067456.0,106066.335168139,0.5711805052676443,grid_models\seq2seq_tlen10_tfr0.2_lr0.1.pt,"174128.09,66361.70,77253.48,80091.73,81166.12,81872.52,82534.04,83181.79,83720.80,84280.66","183226.75,79168.57,90343.55,93341.77,94566.38,95342.29,96081.85,96826.79,97490.83,98192.55"
10,0.3,0.01,80019.5,8459616256.0,91976.17221867846,0.43765597613686225,grid_models\seq2seq_tlen10_tfr0.3_lr0.01.pt,"78663.40,78557.16,78200.88,78815.52,79523.95,80134.04,80739.45,81336.91,81848.02,82375.76","86767.91,90805.84,90167.04,90845.33,91719.60,92431.49,93145.46,93864.98,94516.31,95198.28"
10,0.3,0.04,70897.171875,7162392064.0,84630.91671487436,0.3821369505534738,grid_models\seq2seq_tlen10_tfr0.3_lr0.04.pt,"66514.38,66326.08,69219.47,70404.50,71196.22,71842.09,72475.98,73104.48,73663.42,74225.13","79519.56,79444.15,82621.66,83960.14,84912.52,85641.45,86360.60,87084.50,87764.92,88455.67"
10,0.3,0.06,72875.6015625,7170247680.0,84677.31502592651,0.37758143839694686,grid_models\seq2seq_tlen10_tfr0.3_lr0.06.pt,"69039.75,65830.09,70453.06,72683.13,73609.13,74251.70,74861.83,75463.82,76010.27,76553.18","80060.58,77864.59,81675.20,84178.89,85280.01,86013.91,86716.07,87420.31,88092.70,88767.00"
10,0.3,0.08,89769.703125,10901786624.0,104411.62111565935,0.5503222457433151,grid_models\seq2seq_tlen10_tfr0.3_lr0.08.pt,"167754.69,67402.64,78502.27,81227.84,82246.67,82916.77,83545.21,84164.71,84696.09,85240.16","177890.91,78756.94,89561.17,92427.67,93596.84,94347.02,95062.05,95783.14,96439.06,97121.27"
10,0.3,0.1,98803.0625,14712015872.0,121293.09902875761,0.7365115193997399,grid_models\seq2seq_tlen10_tfr0.3_lr0.1.pt,"236078.47,66921.36,80174.88,83911.12,85148.91,85893.14,86574.70,87237.54,87765.00,88325.55","243152.94,80006.55,95040.87,98988.48,100376.23,101183.73,101939.17,102699.25,103355.15,104065.98"
10,0.4,0.01,69142.0625,6835546112.0,82677.3615447421,0.3533351870916657,grid_models\seq2seq_tlen10_tfr0.4_lr0.01.pt,"65003.65,66894.59,66855.70,68384.07,69208.97,69837.40,70446.16,71049.30,71597.87,72142.89","77531.41,78444.12,80085.02,81930.03,82942.49,83668.87,84374.97,85082.83,85760.52,86438.98"
10,0.4,0.04,73429.9296875,7610900992.0,87240.47794458717,0.4058149376157987,grid_models\seq2seq_tlen10_tfr0.4_lr0.04.pt,"70447.12,68530.48,71539.93,72747.48,73570.52,74240.83,74896.85,75545.52,76104.96,76675.60","80678.65,82048.48,85346.48,86698.30,87676.63,88419.15,89151.95,89891.35,90570.87,91272.44"
10,0.4,0.06,76568.609375,7639055360.0,87401.68968618399,0.39648472808175167,grid_models\seq2seq_tlen10_tfr0.4_lr0.06.pt,"74663.01,70314.29,74732.29,76077.35,76853.71,77462.66,78054.68,78642.20,79177.38,79708.56","88580.90,80473.87,84809.65,86270.58,87192.09,87889.20,88573.54,89264.32,89924.54,90586.19"
10,0.4,0.08,70415.875,6859186688.0,82820.20700288065,0.3591338923927081,grid_models\seq2seq_tlen10_tfr0.4_lr0.08.pt,"66166.53,64915.62,68564.20,70100.06,70911.39,71532.66,72134.60,72731.67,73280.15,73821.90","78145.74,76841.17,80504.47,82252.60,83229.59,83944.32,84640.52,85340.22,86015.42,86687.10"
10,0.4,0.1,74206.7109375,7368919040.0,85842.40816752522,0.380575385639223,grid_models\seq2seq_tlen10_tfr0.4_lr0.1.pt,"68479.15,76249.77,69309.40,73108.59,74285.81,74957.70,75566.00,76162.38,76704.88,77243.47","79247.23,90242.57,80371.21,84176.94,85499.74,86260.17,86960.77,87660.00,88328.51,88998.10"
10,0.5,0.01,80639.0234375,8762274816.0,93607.02332624406,0.4575458412705842,grid_models\seq2seq_tlen10_tfr0.5_lr0.01.pt,"83137.21,76490.71,78180.53,79216.27,80019.59,80669.49,81305.73,81930.40,82448.47,82991.90","89665.05,88472.77,91398.77,92739.39,93739.96,94486.28,95224.04,95967.10,96625.98,97326.54"
