,MMSI,NAME,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,SHIP_AND_CARGO_TYPE,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,BEAM,LENGTH,channel_side,time_diff,new_voyage,voyage_id
106,338327000,DENIS SULLIVAN,23.024536,-78.76418,2023-04-12 15:20:00,5.6,322.8,329.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,6000.0,False,2_338327000
107,338327000,DENIS SULLIVAN,23.061825,-78.79676,2023-04-12 15:50:00,4.9,313.2,315.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,1800.0,False,2_338327000
108,338327000,DENIS SULLIVAN,23.209391,-78.893894,2023-04-12 18:00:00,4.4,336.9,333.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,7800.0,False,2_338327000
109,338327000,DENIS SULLIVAN,23.246611,-78.91338,2023-04-12 18:35:00,4.3,325.1,317.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,2100.0,False,2_338327000
110,338327000,DENIS SULLIVAN,23.252913,-78.91726,2023-04-12 18:40:00,4.6,324.4,326.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
111,338327000,DENIS SULLIVAN,21.873271,-76.743674,2024-03-26 23:00:00,7.5,308.1,310.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,30169200.0,True,3_338327000
112,338327000,DENIS SULLIVAN,21.887553,-76.78018,2024-03-26 23:15:00,7.6,293.8,304.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,900.0,False,3_338327000
113,338327000,DENIS SULLIVAN,21.98794,-77.08498,2024-03-27 01:30:00,8.1,277.1,291.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,8100.0,False,3_338327000
114,338327000,DENIS SULLIVAN,22.184823,-77.379427,2024-03-27 04:15:00,8.0,306.4,317.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,9900.0,False,3_338327000
115,338327000,DENIS SULLIVAN,22.433361,-77.756107,2024-03-27 08:15:00,6.5,302.4,310.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,14400.0,True,4_338327000
116,338327000,DENIS SULLIVAN,22.438696,-77.76486,2024-03-27 08:20:00,6.3,303.3,312.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
117,338327000,DENIS SULLIVAN,22.44332,-77.772114,2024-03-27 08:25:00,6.4,311.3,321.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
118,338327000,DENIS SULLIVAN,22.448715,-77.780227,2024-03-27 08:30:00,6.4,309.0,317.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
