MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
3,319365000,"NAKUPENDA",0,"ZCOC4",22.061486,-77.225152,2025-05-18 15:25:00.000,9.8,287.5,292,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
3,319365000,"NAKUPENDA",0,"ZCOC4",22.089135,-77.286774,2025-05-18 15:50:00.000,10.5,293.9,292,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
3,319365000,"NAKUPENDA",0,"ZCOC4",22.137170,-77.382595,2025-05-18 16:25:00.000,10.6,297.3,309,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
3,319365000,"NAKUPENDA",0,"ZCOC4",23.122480,-78.832381,2025-05-19 02:50:00.000,11.3,319.4,321,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
3,319365000,"NAKUPENDA",0,"ZCOC4",23.183925,-78.892515,2025-05-19 03:15:00.000,10.9,315.2,319,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
3,319365000,"NAKUPENDA",0,"ZCOC4",23.280125,-78.976704,2025-05-19 03:55:00.000,11.2,327.9,332,0,1,36,0.0,0.0,33,0,4,4,"BL SBH","KY",ORBCOMM-T
18,533133047,"LEGEND N 702769",None,"9M3582",22.372760,-77.411189,2025-05-20 03:20:00.000,27.4,294.4,None,None,None,36,None,None,14,2,0,5,"","MY",None
18,538071698,"S/V TIMEOUT",None,"V7A5236",23.114693,-76.741017,2024-11-20 15:05:00.000,4.8,340.5,None,None,None,36,None,None,9,9,5,5,"","MH",None
18,538071698,"S/V TIMEOUT",None,"V7A5236",23.121770,-76.743820,2024-11-20 15:10:00.000,4.8,342.3,None,None,None,36,None,None,9,9,5,5,"","MH",None
18,538071698,"S/V TIMEOUT",None,"V7A5236",23.128725,-76.746630,2024-11-20 15:15:00.000,4.8,340.4,None,None,None,36,None,None,9,9,5,5,"","MH",None
