MMSI,LAT,LON,PERIOD,SPEED,COG,HEADING,voyage_id,TIME,dt,dlat,dlon,cog_rad,cog_sin,cog_cos,hdg_rad,hdg_sin,hdg_cos,num_pings
477818000,22.477823,-77.979977,2023-09-13 09:00:00,13.0,123.8,123.0,10_477818000,2023-09-13 09:00:00,300.0,-0.0180000000000006,0.0279369999999943,2.16071761396898,0.8309844692743282,-0.5562956155003048,2.146754979953025,0.838670567945424,-0.5446390350150271,12
477818000,22.462413,-77.955393,2023-09-13 09:10:00,13.0,123.8,123.0,10_477818000,2023-09-13 09:10:00,600.0,-0.0154099999999992,0.0245840000000043,2.16071761396898,0.8309844692743282,-0.5562956155003048,2.146754979953025,0.838670567945424,-0.5446390350150271,12
477818000,22.438425,-77.916948,2023-09-13 09:20:00,13.0,123.2,122.0,10_477818000,2023-09-13 09:20:00,600.0,-0.0239880000000027,0.0384449999999958,2.150245638457014,0.8367643134589617,-0.5475632234925502,2.129301687433082,0.8480480961564261,-0.5299192642332048,12
477818000,22.434482,-77.910457,2023-09-13 09:25:00,13.0,123.2,122.0,10_477818000,2023-09-13 09:25:00,300.0,-0.0039429999999995,0.0064910000000111,2.150245638457014,0.8367643134589617,-0.5475632234925502,2.129301687433082,0.8480480961564261,-0.5299192642332048,12
477883200,22.5888,-78.173855,2023-05-24 06:55:00,13.1,110.6,110.0,7_477883200,2023-05-24 06:55:00,0.0,0.0,0.0,1.9303341527057285,0.9360595357389734,-0.3518416484047016,1.9198621771937625,0.9396926207859084,-0.3420201433256687,7
477883200,22.583345,-78.158374,2023-05-24 07:00:00,13.1,110.7,110.0,7_477883200,2023-05-24 07:00:00,300.0,-0.0054549999999977,0.0154810000000082,1.932079481957723,0.9354440308298672,-0.3534748437792572,1.9198621771937625,0.9396926207859084,-0.3420201433256687,7
477883200,22.574473,-78.133214,2023-05-24 07:05:00,13.1,111.0,110.0,7_477883200,2023-05-24 07:05:00,300.0,-0.0088720000000002,0.0251599999999996,1.9373154697137056,0.9335804264972016,-0.3583679495453002,1.9198621771937625,0.9396926207859084,-0.3420201433256687,7
477883200,22.569995,-78.12038,2023-05-24 07:10:00,13.1,110.2,110.0,7_477883200,2023-05-24 07:10:00,300.0,-0.0044780000000024,0.012833999999998,1.9233528356977512,0.938493022759556,-0.3452981989985346,1.9198621771937625,0.9396926207859084,-0.3420201433256687,7
477883200,22.559441,-78.098119,2023-05-24 07:15:00,13.1,122.6,122.0,7_477883200,2023-05-24 07:15:00,300.0,-0.010553999999999,0.0222610000000003,2.139773662945048,0.8424523970071475,-0.538770785006863,2.129301687433082,0.8480480961564261,-0.5299192642332048,7
477883200,22.54925,-78.08095,2023-05-24 07:20:00,13.1,122.8,122.0,7_477883200,2023-05-24 07:20:00,300.0,-0.0101909999999989,0.0171689999999955,2.143264321449037,0.8405666034956844,-0.5417082102827397,2.129301687433082,0.8480480961564261,-0.5299192642332048,7
477883200,22.541121,-78.067027,2023-05-24 07:25:00,13.1,122.3,122.0,7_477883200,2023-05-24 07:25:00,300.0,-0.0081290000000002,0.0139230000000054,2.134537675189065,0.8452618332218562,-0.5343523493898263,2.129301687433082,0.8480480961564261,-0.5299192642332048,7
